"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2017","246.38","248.47","248.47","245.42","327.84K","-0.67%"
"Jul 18, 2017","248.03","248.21","249.42","247.77","120.57K","0.21%"
"Jul 17, 2017","247.51","248.38","250.21","246.90","436.37K","-0.21%"
"Jul 16, 2017","248.03","249.25","250.73","247.60","450.14K","-0.49%"
"Jul 13, 2017","249.25","250.12","252.03","248.64","476.78K","-0.38%"
"Jul 12, 2017","250.21","250.38","250.82","249.86","253.45K","-0.07%"
"Jul 11, 2017","250.38","250.03","251.25","249.08","397.26K","0.45%"
"Jul 10, 2017","249.25","249.68","251.68","248.73","604.16K","-0.31%"
"Jul 09, 2017","250.03","249.86","250.38","248.64","155.79K","0.42%"
"Jul 06, 2017","248.99","249.86","250.38","248.64","523.67K","-0.21%"
